AID,SLID,ELID
1,344,347
2,348,351
3,352,355
4,356,359
5,360,363
6,364,367
7,368,371
8,372,375
9,376,379
10,380,383
11,384,387
12,388,391
13,392,395
14,396,399
15,400,403
16,404,407
17,408,411
18,412,415
19,416,419
20,420,423
21,424,427
22,428,431
23,432,435
24,436,439
25,440,443
26,444,447
27,448,451
28,452,455
29,456,459
30,460,463
31,464,467
32,468,471
33,472,475
34,476,479
35,480,483
36,484,487
37,488,491
38,492,495
39,496,499
40,500,503
41,504,507
42,508,511
43,512,515
44,516,519
45,520,523
46,524,527
47,528,531
48,532,535
49,536,539
50,540,543
51,544,547
52,548,551
53,552,555
54,556,559
55,560,563
56,564,567
57,568,571
58,572,575
59,576,579
60,580,583
61,584,587
62,588,591
63,592,595
64,596,599
65,600,603
66,604,607
67,608,611
68,612,615
69,616,619
70,620,623
71,624,627
72,628,631
73,632,635
74,636,639
75,640,643
76,644,647
77,648,651
78,652,655
79,656,659
80,660,663
81,664,667
82,668,671
83,672,675
84,676,679
85,680,683
86,684,687
87,688,691
88,692,695
89,696,699
90,700,703
91,704,707
92,708,711
93,712,715
94,716,719
95,720,723
96,724,727
97,728,731
98,732,735
99,736,739
100,740,743
101,744,747
102,748,751
103,752,755
104,756,759
105,760,763
106,764,767
107,768,771
108,772,775
109,776,779
110,780,783
111,784,787
112,788,791
113,792,795
114,796,799
115,800,803
116,804,807
117,808,811
118,812,815
119,816,819
120,820,823
121,824,827
122,828,831
123,832,835
124,836,839
125,840,843
126,844,847
127,848,851
128,852,855
129,856,859
130,860,863
131,864,867
132,868,871
133,872,875
134,876,879
135,880,883
136,884,887
137,888,891
138,892,895
139,896,899
140,900,903
141,904,907
142,908,911
143,912,915
144,916,919
145,920,923
146,924,927
147,928,931
148,932,935
149,936,939
150,940,943
151,944,947
152,948,951
153,952,955
154,956,959
155,960,963
156,964,967
157,968,971
158,972,975
159,976,979
160,980,983
161,984,987
162,988,991
163,992,995
164,996,999
165,1000,1003
166,1004,1007
167,1008,1011
168,1012,1015
169,1016,1019
170,1020,1023
171,1024,1027
172,1028,1031
173,1032,1035
174,1036,1039
175,1040,1043
176,1044,1047
177,1048,1051
178,1052,1055
179,1056,1059
180,1060,1063
181,1064,1067
182,1068,1071
183,1072,1075
184,1076,1079
185,1080,1083
186,1084,1087
