PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0,42.09,1.71,0,0,0,0
2,0,0,0,41.92,-0.45,0,0,0,0
3,0,0,0,44.41,-0.61,0,0,0,0
4,0,0,0,44.56,1.21,0,0,0,0
5,0,0,0,47.19,1.72,0,0,0,0
6,0,0,0,47,-0.77,0,0,0,0
7,0,0,0,49.49,-0.95,0,0,0,0
8,0,0,0,49.66,1.5,0,0,0,0
9,0,0,0,51.15,1.82,0,0,0,0
10,0,0,0,51,-1.02,0,0,0,0
11,0,0,0,53.44,-1.16,0,0,0,0
12,0,0,0,53.63,1.69,0,0,0,0
13,0,0,0,54.63,1.47,0,0,0,0
14,0,0,0,54.44,-1.24,0,0,0,0
15,0,0,0,56.86,-1.36,0,0,0,0
16,0,0,0,57.03,1.34,0,0,0,0
17,0,0,0,59.84,1.34,0,0,0,0
18,0,0,0,59.66,-1.56,0,0,0,0
19,0,0,0,62.15,-1.68,0,0,0,0
20,0,0,0,62.31,1.08,0,0,0,0
21,0,0,0,65.23,0.98,0,0,0,0
22,0,0,0,65.04,-1.91,0,0,0,0
23,0,0,0,67.53,-2.05,0,0,0,0
24,0,0,0,67.68,0.87,0,0,0,0
25,0,0,0,69.82,0.71,0,0,0,0
26,0,0,0,69.62,-2.21,0,0,0,0
27,0,0,0,72.13,-2.36,0,0,0,0
28,0,0,0,72.31,0.51,0,0,0,0
29,0,0,0,72.18,-2.36,0,0,0,0
30,0,0,0,74.6,-2.5,0,0,0,0
31,0,0,0,74.77,0.3,0,0,0,0
32,0,0,0,76.57,0.09,0,0,0,0
33,0,0,0,76.38,-2.63,0,0,0,0
34,0,0,0,78.88,-2.77,0,0,0,0
35,0,0,0,79.05,-0.04,0,0,0,0
36,0,0,0,83.61,-11.41,0,0,0,0
37,0,0,0,86.37,-11.6,0,0,0,0
38,0,0,0,86.2,-14.09,0,0,0,0
39,0,0,0,83.4,-13.91,0,0,0,0
40,0,0,0,86.19,-14.12,0,0,0,0
41,0,0,0,86.05,-16.58,0,0,0,0
42,0,0,0,83.26,-16.4,0,0,0,0
43,0,0,0,83.25,-17.89,0,0,0,0
44,0,0,0,85.99,-18.08,0,0,0,0
45,0,0,0,85.84,-20.54,0,0,0,0
46,0,0,0,83.03,-20.37,0,0,0,0
47,0,0,0,85.84,-20.57,0,0,0,0
48,0,0,0,85.71,-23.05,0,0,0,0
49,0,0,0,83.21,-22.88,0,0,0,0
